All sky irradiance,Clear sky irradiance,ALLSKY  ICI,Temperature,Dew point,Wet bulb,Surface pressure,ALLSKY SFC PAR TOT,ALLSKY SFC UV INDEX,CLRSKY SFC PAR TOT,QV2M
3.42,3.65,0.69,9.16,-4.63,2.26,96.34,58.35,0.47,62.81,2.81
2.97,3.53,0.59,10.01,-5.09,2.46,96.4,50.73,0.45,60.35,2.69
3,3.5,0.6,9.19,-4.54,2.33,96.43,50.97,0.39,59.68,2.81
3.42,3.46,0.68,8.49,-5.95,1.27,96.16,56.95,0.37,58.25,2.56
2.08,3.21,0.41,7.72,-5.72,1,96.4,34.76,0.26,53.42,2.56
2.37,3.59,0.47,8.47,-5.6,1.44,96.55,41.31,0.35,61.92,2.56
2.27,3.43,0.45,7.57,-5.57,1,96.56,41.14,0.41,60.71,2.62
3.56,3.52,0.7,8.9,-0.09,4.4,96.59,62.55,0.48,62.8,3.97
3.74,3.7,0.73,11.12,-2.77,4.18,96.41,64.91,0.54,65.23,3.23
3.33,3.54,0.65,12.26,-3.05,4.61,96.33,60.06,0.59,64.48,3.23
1.98,2.87,0.38,10.16,6.65,8.4,96.34,35.49,0.4,50.79,6.35
3.78,3.79,0.73,9.79,-1.56,4.12,96.38,65.49,0.67,66.72,3.6
3.39,3.79,0.65,10.15,-4.67,2.75,96.25,59.33,0.6,66.7,2.81
3.71,3.67,0.7,11.48,-4.23,3.62,96.23,65.23,0.63,65.58,2.87
3.2,3.15,0.6,11.19,-3,4.09,96.41,54.98,0.49,55.27,3.17
1.75,2.54,0.33,8.91,0.25,4.58,96.29,30.03,0.22,42.67,4.09
2.71,3.18,0.5,9.55,-1.1,4.23,96.09,46.52,0.33,54.71,3.72
3.46,3.64,0.64,8.39,-2.91,2.74,96.82,60.15,0.45,63.91,3.17
4.1,4.07,0.75,9.31,-5.3,2.01,96.82,70.03,0.52,70.46,2.62
4,4.05,0.73,8.97,-6.08,1.44,96.76,68.46,0.54,70.41,2.5
3.21,3.91,0.58,10.4,-5.55,2.43,96.73,56.46,0.45,68.74,2.62
3.21,3.76,0.57,11.42,0.14,5.78,96.83,56.23,0.42,66.45,3.97
4.19,4.14,0.74,11.05,-1.99,4.53,96.76,72.55,0.55,72.82,3.42
4.2,4.17,0.74,12.52,-4.06,4.23,96.69,72.2,0.6,72.79,2.93
4.34,4.33,0.76,13.08,-4.81,4.13,96.65,74.44,0.67,75.28,2.75
2.6,4.02,0.45,12.96,-3.14,4.9,96.51,47.27,0.55,71.2,3.23
4.26,4.25,0.73,15.18,-1.55,6.81,96.49,74.69,0.69,75.48,3.6
4.24,4.23,0.73,14.85,-0.92,6.97,96.4,74.04,0.68,74.97,3.72
2.4,4.05,0.41,12.33,0.44,6.39,96.45,44.67,0.59,73.54,4.15
3.26,3.5,0.55,13.69,4.78,9.23,96.67,57.45,0.55,62.3,5.55
1.8,3.65,0.3,14.05,4.44,9.24,96.55,33.87,0.41,65.46,5.49
2.14,3.58,0.35,12.42,6.48,9.45,96.56,39.22,0.5,63.8,6.23
0.5,3.17,0.08,9.85,6.33,8.08,96.21,9.56,0.14,55.12,6.29
0.5,3.36,0.08,9.15,7.94,8.55,95.98,9.96,0.11,59.24,7.02
0.55,3.53,0.09,9.57,7.36,8.46,95.89,10.82,0.11,63.71,6.77
4.46,4.44,0.71,11.49,4.14,7.82,96.77,81.2,0.8,81.92,5.37
4.73,4.69,0.75,11.39,-0.88,5.26,96.59,82.9,0.83,83.21,3.72
4.96,4.96,0.78,11.53,-4.38,3.58,96.45,85.59,0.8,86.56,2.87
4.72,4.69,0.73,13.51,-2.86,5.33,96.3,83.45,0.84,83.88,3.3
4.62,4.58,0.71,13.75,-1.24,6.26,96.44,82.01,0.84,82.32,3.66
3.88,4.58,0.59,13.6,0.42,7.01,96.43,69.92,0.8,82.17,4.15
4.45,4.55,0.68,14.64,0.9,7.77,96.45,79.02,0.73,81.59,4.27
4.14,4.49,0.62,13.99,3,8.5,96.45,74.66,0.82,81.47,4.94
1.48,4.2,0.22,13.11,5.51,9.31,96.3,28.83,0.38,76.45,5.92
0.83,4.02,0.12,12.32,8.12,10.22,95.95,16.61,0.17,72.99,7.08
4.28,4.47,0.62,13.11,5.76,9.44,95.6,78.26,0.75,82.43,6.04
4.78,4.99,0.7,13.6,3.02,8.31,95.9,86.23,0.98,90.73,4.94
4.72,4.78,0.68,14.51,1.65,8.08,96.27,85.4,0.97,87.17,4.46
3.9,4.48,0.55,13.71,3.26,8.48,96.29,70.6,0.8,81.16,5.07
4.77,4.76,0.68,15.09,4.53,9.81,96.46,86.41,1,86.97,5.49
1.27,4.47,0.18,13.08,6.15,9.62,96.21,25.35,0.4,82.1,6.23
0.92,4.28,0.12,12.47,8.48,10.48,96.42,18.85,0.26,77.17,7.2
4.3,4.89,0.59,14.19,6.66,10.43,96.45,78.66,0.88,89.42,6.35
4.89,5.17,0.67,14.58,4.67,9.62,96.74,88.98,1.05,94.54,5.55
3.36,4.71,0.46,16.3,6.99,11.65,96.52,62.6,0.88,85.27,6.53
1.53,4.32,0.2,14.12,9.32,11.72,96.27,30.28,0.47,78.15,7.63
1.69,4.44,0.23,11.28,8.98,10.13,95.99,33.16,0.41,79.52,7.51
5.44,5.43,0.73,12.15,5.66,8.9,96.77,98.05,1.05,98.59,5.92
5.87,5.85,0.77,12.98,1.41,7.19,96.75,103.8,1.34,104.15,4.46
5.82,5.79,0.76,16.48,2.42,9.45,96.52,103.45,1.28,103.74,4.82
5.46,5.75,0.71,18.54,3.25,10.9,96.39,98.46,1.42,104.21,5.07
5.68,5.64,0.73,20.55,4.71,12.62,96.3,103.14,1.34,103.31,5.55
5.87,5.83,0.75,19.73,6.2,12.97,96.52,106.62,1.41,106.77,6.16
5.95,5.92,0.75,20.33,5.63,12.98,96.46,107.33,1.43,107.63,5.92
5.86,5.84,0.73,20.62,4.94,12.79,96.33,106.13,1.54,106.52,5.68
5.63,5.62,0.7,19.73,7.64,13.68,96.28,103.35,1.56,103.76,6.84
3.92,5.33,0.48,20.18,10.27,15.23,95.84,72.6,1.03,96.42,8.18
5.85,5.9,0.72,18.55,5.87,12.21,95.84,103.38,1.18,104.7,6.16
5.41,5.68,0.66,19.91,7.24,13.58,96.03,97.83,1.25,103.01,6.65
4.22,5.53,0.51,20.65,9.72,15.18,96,78.65,1.12,101.59,7.87
1.54,5.22,0.19,17.21,12.2,14.7,96.09,31.1,0.49,95.88,9.28
2.68,5.52,0.32,14.85,11.94,13.4,96.25,52.83,0.76,102.9,9.09
5.87,6.01,0.7,16.61,9.1,12.85,96.61,109.08,1.39,112.27,7.51
5.65,6.11,0.66,17.83,6.93,12.38,96.45,103.4,1.22,111.77,6.47
5.41,5.99,0.63,17.72,9.46,13.58,96.53,100.1,1.05,110.85,7.69
5.81,5.93,0.67,18.22,10.67,14.44,96.11,107.49,1.4,110.15,8.36
5.65,5.82,0.65,20.08,10.93,15.51,95.83,104.71,1.42,108.46,8.54
2.24,5.5,0.26,17.83,12.04,14.94,96.06,44.36,0.73,102.55,9.16
5.98,6.15,0.68,18.5,10.09,14.3,96.13,110.97,1.57,114.78,8.06
4.67,6.26,0.53,20.22,8.48,14.34,95.56,87.37,1.33,115.43,7.26
1.89,5.54,0.21,16.63,11.51,14.07,95.76,37.29,0.56,99.77,8.91
1.75,5.92,0.2,15.55,11.69,13.62,96.13,34.98,0.47,108.85,8.97
6.69,6.66,0.74,17.69,9.39,13.55,96.16,122.79,1.88,122.89,7.69
6.64,6.79,0.73,20.2,7.18,13.69,95.73,120.19,1.91,123.1,6.65
6.21,6.5,0.68,21.33,9.62,15.47,95.79,114.49,1.84,119.87,7.87
4.5,5.88,0.49,20.23,11.49,15.86,95.93,84.37,1.3,107.99,8.91
6.15,6.26,0.66,20.75,12.48,16.62,95.94,114.61,1.8,116.94,9.46
6.55,6.57,0.7,21.87,11.05,16.46,95.75,121.4,1.91,122.32,8.61
6.87,6.91,0.73,22.62,9.98,16.3,95.72,124.69,1.98,125.86,8.06
3.68,6.57,0.39,22.27,10.31,16.3,95.77,70.1,1.14,121.13,8.24
5.44,6.39,0.58,21.6,11.86,16.73,95.96,100.81,1.52,117.1,9.09
6.04,6.57,0.63,20.05,12.37,16.21,96.08,110.95,1.69,120.24,9.4
6.86,6.98,0.72,21,9.34,15.17,95.94,125.98,1.88,128.36,7.69
7.09,7.22,0.74,22.16,7.89,15.03,95.7,128.97,1.91,131.34,7.02
6.6,6.95,0.69,23.3,8.22,15.76,95.66,121.32,1.91,127.79,7.2
5.55,6.59,0.57,22.71,11.75,17.23,95.67,105.05,1.59,123.77,9.03
5.68,6.47,0.59,22.12,12.82,17.47,95.73,107.67,1.73,121.95,9.77
4.62,6.44,0.47,23.83,13.26,18.55,95.75,87.7,1.35,120.26,10.01
4.44,6.27,0.45,23.22,12.61,17.91,95.86,83.98,1.2,116.72,9.58
6.7,6.82,0.68,24.15,12.59,18.37,95.81,124.8,1.94,127.15,9.52
6.84,7.11,0.69,24.37,13,18.68,95.78,127.29,1.98,132.48,9.83
6.49,6.87,0.65,26.05,13.24,19.65,95.84,119.99,1.79,127.02,10.01
6.87,6.93,0.69,25.75,12.78,19.26,95.75,127.63,1.97,128.91,9.7
6.9,7.28,0.69,26.17,12.98,19.58,95.42,128.79,2.2,135.56,9.89
6.27,7.04,0.62,24.59,13.01,18.8,95.13,115.67,1.77,129.19,9.95
7.81,7.88,0.77,24.37,8.17,16.27,95.26,140.81,2.23,142.33,7.2
7.49,7.65,0.73,25.96,7.52,16.74,95.41,135.86,1.97,138.83,6.84
6.71,7.3,0.66,26.57,10.28,18.43,95.4,123.26,1.8,133.49,8.3
4.85,6.97,0.47,25.21,14.02,19.62,95.35,91.4,1.3,127.62,10.56
6.62,7.16,0.64,24.28,12.23,18.25,95.59,123.07,1.64,132.37,9.4
6.01,7.1,0.58,23.12,13.73,18.42,95.96,112.09,1.64,131.13,10.25
4.94,6.92,0.48,23.55,14.11,18.83,96.01,94.53,1.49,129.08,10.56
5.21,7,0.5,22.95,14.23,18.59,96.07,98.33,1.55,130.09,10.62
6.44,6.86,0.62,23.46,13.55,18.5,96.02,120.84,1.77,128.2,10.13
6.15,7.33,0.59,24.41,13.24,18.83,95.93,115.4,1.96,136.1,10.01
5.46,7.25,0.52,23.67,13.79,18.73,95.99,103.44,1.8,134.25,10.31
5.59,7.45,0.53,24.75,10.92,17.83,95.66,105.66,1.77,137.73,8.61
6.99,7.61,0.66,24.77,10.73,17.76,95.63,130.27,2.16,140.81,8.48
7.65,7.89,0.72,24.66,10.23,17.45,95.61,137.96,2.15,142.05,8.24
7.44,7.68,0.7,23.75,9.1,16.43,95.48,133.92,1.87,138.05,7.69
7.79,7.88,0.73,25.63,7.94,16.79,95.2,138.08,2.12,139.55,7.08
7.64,7.99,0.71,27.15,8.66,17.91,94.96,139.45,2.46,145.38,7.45
6.62,7.66,0.62,27.28,11.38,19.33,95.04,124.27,2.12,142.27,8.97
6.56,7.29,0.61,26.8,12.7,19.75,95.28,121.05,1.92,133.75,9.7
7.36,7.46,0.68,27.37,11.41,19.4,95.42,133.85,2.07,135.52,8.91
6.83,7.59,0.62,27.76,12.03,19.9,95.45,127.32,2.1,140.6,9.34
7.36,7.73,0.67,28.71,12.25,20.48,95.44,136.13,2.22,142.49,9.46
7.78,7.96,0.71,29.85,11.86,20.85,95.28,144.37,2.31,147.15,9.22
6.31,7.81,0.58,29.9,12.97,21.44,95.17,118.46,2.1,144.14,9.95
5.72,7.21,0.52,27.99,13.55,20.76,94.99,107.12,1.73,132.38,10.31
5.29,7.29,0.48,28,13.1,20.55,95.35,100.55,1.59,134.85,10.01
6.89,7.48,0.62,27.43,14.06,20.75,95.5,128.85,2.02,139.28,10.56
7.01,7.52,0.63,28.61,13.12,20.87,95.34,130.09,2.09,138.67,9.95
7.34,7.93,0.66,29.47,13.77,21.62,95.23,137.16,2.27,147.37,10.44
8.3,8.38,0.75,31.23,11.08,21.16,95,152.97,2.58,154.18,8.85
8.39,8.5,0.75,31.84,8.04,19.94,95.03,151.64,2.59,153.2,7.26
8.25,8.38,0.74,33.3,9.28,21.3,95.03,151.94,2.66,153.91,7.81
7.2,7.8,0.64,32.39,10.63,21.51,94.94,134.58,2.34,144.72,8.61
7.09,7.48,0.63,33.33,11.83,22.58,95.04,130.57,2.16,137.02,9.34
7.5,7.79,0.67,33.61,12.28,22.94,95.08,138.54,2.38,143.02,9.58
7.92,8.08,0.7,33.65,12.19,22.92,95.03,146.74,2.55,149.02,9.52
8.1,8.27,0.72,35.59,9.01,22.3,94.86,150.61,2.66,153.09,7.81
7.92,8.13,0.7,36.62,9.19,22.9,94.7,146.99,2.57,150.17,7.75
6.45,7.57,0.57,36.21,8.65,22.43,94.65,121.7,2.09,140.51,7.51
5.31,6.83,0.47,30.34,12.39,21.37,94.97,101.98,1.68,128.28,9.64
7.44,7.67,0.66,30.26,9.82,20.04,95.14,138.67,2.28,142.04,8.18
7.11,8.19,0.62,29.94,8.85,19.4,95.31,131.51,2.15,149.35,7.51
6.54,8.46,0.58,30.6,3.31,16.96,95.33,121.7,2.01,154.61,5.19
8.53,8.64,0.75,32.51,3.81,18.16,95.05,155.8,2.55,157.05,5.37
8.45,8.6,0.74,34.18,4.48,19.33,94.81,154.71,2.74,156.41,5.62
8.28,8.37,0.73,35.01,4.51,19.76,94.88,154.09,2.83,154.79,5.55
7.71,7.87,0.68,35.66,6.32,20.99,94.9,145.16,2.62,147.12,6.35
6.42,7.85,0.56,33.63,11.41,22.52,95.06,122.79,2.16,147.11,8.97
8.03,8.12,0.7,34.54,11.44,22.99,95.06,153.84,2.67,154.58,8.97
8.11,8.24,0.71,36.64,9.64,23.14,94.89,152.75,2.65,154.12,7.93
8.43,8.52,0.73,36.4,5.24,20.82,94.73,155.77,2.52,156.45,5.92
8.39,8.47,0.73,36.34,2.83,19.58,94.78,154.12,2.53,154.54,4.94
8.23,8.32,0.72,36.93,2.51,19.72,94.66,150.77,2.67,151.55,4.82
7.87,7.98,0.69,38.16,4.38,21.27,94.46,146.07,2.58,147.19,5.49
7.44,7.58,0.65,39.05,6.52,22.79,94.45,139.97,2.43,141.55,6.47
6.91,7.21,0.6,39.65,11.39,25.52,94.46,131.19,2.23,135.68,9.03
5.86,7.28,0.51,34.41,20.47,27.44,94.8,115.62,2.04,140.44,15.99
6.96,7.45,0.6,33.46,21.32,27.39,94.76,134.41,2.27,142.73,16.85
5.22,7.31,0.45,31.51,21.36,26.44,94.71,103.62,1.84,140.48,16.91
6.48,7.58,0.56,30.73,17.86,24.3,94.69,125.65,2.21,144.33,14.1
6.72,8.19,0.59,29.23,16.27,22.75,94.83,128.5,2.03,153.57,12.51
4.88,8.17,0.42,30.12,13.35,21.73,94.52,94.3,1.44,151.46,10.25
8.22,8.29,0.71,30.19,14.46,22.33,94.72,153.68,2.38,154.12,11.05
7.94,8.32,0.69,32.05,14.95,23.51,94.85,149.09,2.6,154.96,11.29
8.22,8.35,0.72,34.62,15.6,25.12,94.74,155.04,2.82,156.58,11.84
8.27,8.37,0.72,35.91,12.97,24.44,94.48,153.56,2.57,154.49,10.13
7.89,8.01,0.69,37.27,11.73,24.5,94.47,146.27,2.35,147.67,9.16
7.54,7.63,0.66,37.54,13.72,25.63,94.43,139.76,2.3,140.63,10.44
7,7.19,0.61,38.55,15.07,26.81,94.36,128.59,2.03,131.25,11.35
6.45,6.81,0.56,38.65,15.61,27.13,94.57,120.56,1.84,125.87,11.78
6.09,6.74,0.53,35.36,20.97,28.16,94.68,114.84,1.79,125.41,16.66
6.43,7.2,0.56,35.51,19.6,27.55,94.43,121.84,1.97,134.6,15.44
6.75,7.26,0.59,33.77,19.99,26.88,94.51,129.71,2.2,137.98,15.69
6.04,7.19,0.52,30.87,22.03,26.45,94.53,117.23,1.97,136.64,17.64
7.28,7.46,0.63,32.36,20.83,26.6,94.76,139.82,2.34,142.29,16.42
7.44,7.99,0.65,33,18.16,25.58,94.69,144.36,2.59,153.55,13.98
7.36,7.78,0.64,33.36,17.35,25.36,94.61,141.55,2.44,148.25,13.24
8.03,8.1,0.7,34.52,16.92,25.72,94.73,152.35,2.57,153.04,12.94
7.32,7.55,0.64,35,17.33,26.16,94.69,136.72,2.2,140.04,13.31
6.81,7.44,0.59,34.89,18.26,26.58,94.61,128.11,2.17,138.18,14.1
6.45,7.04,0.56,34.49,19.91,27.2,94.77,121.97,2.07,131.59,15.56
5.85,7.14,0.52,32.12,24.12,28.12,94.83,112.91,1.93,135.34,19.96
6.53,7.13,0.58,33.08,22.51,27.8,94.6,123.29,2.04,133.06,18.25
5.42,6.93,0.48,31.89,21.73,26.81,94.52,105.66,1.86,131.4,17.4
7.07,7.26,0.62,30.46,19.69,25.07,94.61,135.3,2.27,138.02,15.32
7.16,7.57,0.63,32.49,17.96,25.23,94.74,136.1,2.27,142.59,13.73
6.75,7.23,0.59,33.14,19.33,26.24,94.98,127.15,1.98,135.39,14.95
6.76,7.36,0.59,33.54,20.76,27.15,94.82,126.85,2.04,136.61,16.3
6.68,7.19,0.59,33.59,23.15,28.37,94.62,126.28,2.12,134.59,18.92
6.51,7.11,0.58,34.4,22.83,28.62,94.64,122.35,2.02,132.4,18.62
4.58,6.43,0.41,34.26,22.63,28.44,94.72,86.92,1.37,119.4,18.37
5.29,6.18,0.47,33.42,23.05,28.23,94.74,100.16,1.5,115.12,18.8
6.6,6.9,0.59,34.51,22.51,28.51,94.39,126.19,2.1,131.12,18.25
5.92,6.88,0.53,34.07,22.32,28.19,94.22,112.91,1.82,129.55,18.07
2.3,6.6,0.2,31.33,23.52,27.43,94.62,47.72,0.82,125.47,19.29
7.07,7.37,0.63,30.77,23,26.88,94.6,136.59,2.35,141.6,18.74
6.89,7.44,0.62,32.81,22.11,27.46,94.46,133.84,2.33,143.48,17.82
5.13,7.01,0.46,32.75,23.23,27.99,94.71,100.01,1.72,134.03,18.98
6.12,7.04,0.55,31.67,22.6,27.13,94.67,118.91,2.02,135.4,18.25
6.41,7.23,0.58,31.54,21.42,26.48,94.52,122.94,2.12,137.32,17.03
6.69,7.44,0.6,31.51,22.32,26.91,94.46,129.16,2.2,142.41,17.94
6.9,7.31,0.62,32.55,22.83,27.69,94.67,133.62,2.3,140.52,18.49
6.23,6.7,0.56,33.48,24.35,28.91,94.71,118.18,1.9,126.06,20.26
5.85,6.58,0.53,33.89,24.44,29.16,94.59,111.27,1.79,123.56,20.45
4.33,6.44,0.4,33.32,24.4,28.86,94.56,85.78,1.48,123.01,20.39
6.66,6.83,0.61,32.56,24.02,28.29,94.43,128.6,2.18,131.45,19.96
4.14,6.66,0.38,32.27,24.08,28.18,94.64,81.8,1.47,128.34,19.96
1.67,6.58,0.16,30.15,24.33,27.24,94.93,35.63,0.59,127.02,20.2
5.58,7.01,0.52,30.39,22.7,26.55,95.17,110.95,2.02,136.98,18.31
6.79,7.11,0.62,31.97,22.17,27.07,95.02,132.88,2.3,138.71,17.76
6.36,6.85,0.59,32.88,22.87,27.88,94.83,124.09,2.09,132.73,18.55
5.42,6.82,0.51,32.86,23.15,28.01,94.84,106.23,1.8,131.7,18.86
4.68,6.62,0.44,31.76,23.24,27.5,94.98,92.16,1.62,126.91,18.92
5.69,7,0.53,32.17,23.18,27.67,94.8,111.08,1.85,135.52,18.86
5.8,6.97,0.55,32.97,23.34,28.15,94.67,113.95,1.95,135.28,19.1
4.78,6.76,0.45,30.55,23.99,27.27,94.87,93.88,1.54,130.38,19.78
2.11,5.96,0.2,30.37,24.16,27.26,95,42.5,0.63,112.86,19.96
5.29,6.36,0.5,30.66,23.59,27.13,94.97,103.3,1.66,122.42,19.35
1.05,5.99,0.1,29.47,24.45,26.96,94.84,22.66,0.36,113.81,20.39
4.18,6.08,0.4,27.01,22.52,24.76,95.01,78.83,1.2,112.88,18.13
6.14,6.82,0.59,28.11,21.15,24.63,95.14,117.71,2.02,129.86,16.6
4.87,6.89,0.47,28.29,22.14,25.21,95.01,95.48,1.62,132.54,17.64
5.7,6.78,0.55,29.05,22.54,25.79,94.84,110.57,1.87,130.12,18.13
6.4,7.01,0.62,29.35,22.37,25.86,94.84,124.46,2.15,135.96,17.94
5.06,6.79,0.49,29.79,21.94,25.87,94.93,97.32,1.66,129.23,17.46
6.86,6.86,0.67,29.95,20.15,25.05,94.88,130.02,2.15,130.3,15.69
5.77,6.97,0.56,30.05,20.19,25.12,94.77,111.44,1.91,133.77,15.75
6.89,6.95,0.68,29.72,19.37,24.55,94.97,133.19,2.22,134.49,14.95
6.77,6.81,0.67,30.43,19.62,25.02,95.05,130.09,2.14,130.98,15.14
6.41,6.57,0.63,31.02,21.07,26.05,95.04,123.05,1.98,125.85,16.54
6.21,6.28,0.62,31.15,20.85,26,94.88,117.2,1.78,118.52,16.48
6.01,6.34,0.6,30.8,20.16,25.48,94.72,114.08,1.77,120.2,15.75
6.14,6.28,0.62,31.16,18.98,25.07,94.72,115.96,1.78,118.59,14.71
4.95,6.1,0.5,29.53,20.15,24.84,95.08,94.26,1.46,115.26,15.62
5.6,6,0.57,29.26,21.34,25.3,95.24,105.97,1.57,113.69,16.78
6.07,6.22,0.62,29.79,21.39,25.59,95.18,114.46,1.79,117.5,16.85
5.73,6.13,0.59,29.86,20.96,25.41,95.17,108.63,1.69,115.95,16.42
5.8,5.96,0.59,29.17,21.36,25.26,95.3,109.32,1.65,112.55,16.78
5.74,6.18,0.59,29.4,20.9,25.15,95.29,108.91,1.64,117.04,16.36
6.26,6.26,0.65,29.9,20.51,25.2,95.19,118.12,1.81,118.71,15.99
6.46,6.47,0.67,28.98,19.5,24.24,95.1,121.55,1.91,122.21,15.08
5.63,6.08,0.59,28.29,17.28,22.78,95.03,105.09,1.56,113.41,13.24
5.54,6.03,0.59,27.94,17.9,22.92,95.24,104.06,1.58,113.17,13.61
5.36,6.15,0.57,27.73,19.61,23.67,95.36,101.8,1.55,116.5,15.08
4.84,5.79,0.52,28.01,21.51,24.76,95.49,92.76,1.45,109.91,16.91
4.43,5.42,0.48,26.4,21.01,23.7,95.67,83.12,1.19,100.98,16.36
4.58,5.5,0.49,27.38,20.92,24.15,95.45,86.33,1.29,103,16.3
5.11,5.73,0.55,27.87,21.1,24.49,95.44,96.81,1.49,108.28,16.48
3.96,5.51,0.43,27.55,21.8,24.68,95.68,76.47,1.2,104.04,17.15
4.99,5.37,0.55,27.4,21.65,24.52,95.79,93.62,1.3,100.7,16.97
5.31,5.6,0.59,28.17,19.94,24.05,95.48,99.15,1.4,104.5,15.32
3.63,5.74,0.41,28.1,19.41,23.76,95.19,69.35,1.04,107.07,14.89
5.77,5.97,0.64,26.93,18.55,22.73,95.35,108.81,1.57,112.71,14.1
6.22,6.21,0.7,27.58,16.56,22.08,95.34,117.04,1.72,117.23,12.45
6.33,6.31,0.71,28.07,15.39,21.73,95.3,119.23,1.76,119.38,11.54
6.41,6.39,0.73,28.16,14.58,21.37,95.28,120.56,1.84,120.7,10.99
6.29,6.29,0.72,27.84,14.82,21.33,95.29,117.97,1.82,118.36,11.17
5.72,5.94,0.66,27.3,16.43,21.87,95.44,107.24,1.62,111.77,12.33
5.5,5.54,0.63,28.58,18.29,23.43,95.3,102.32,1.5,103.67,13.85
5.23,5.35,0.61,28.51,19.28,23.9,95.2,96.75,1.35,99.62,14.77
5.44,5.4,0.64,28.98,18.84,23.91,95.3,100.75,1.41,100.85,14.4
5.72,5.7,0.67,28.49,18.3,23.4,95.52,106.34,1.52,106.91,13.85
5.17,5.28,0.62,28.19,18.58,23.39,95.6,95.34,1.36,97.91,14.1
4.92,5.03,0.59,28.43,19.51,23.97,95.44,90.52,1.27,93.03,14.95
3.62,4.92,0.44,28.06,19.84,23.95,95.44,68.27,1,92.01,15.26
5.04,5.05,0.61,27.47,19.98,23.72,95.36,94.57,1.36,95.48,15.38
3.9,5.23,0.48,27.34,19.7,23.52,95.46,74.73,1.12,99.48,15.14
5.16,5.3,0.63,27.24,19.26,23.25,95.77,97.2,1.33,100.54,14.65
5.15,5.25,0.64,27.16,18.68,22.92,95.94,97.4,1.32,99.95,14.1
4.7,4.91,0.59,27.24,18.85,23.05,95.81,88.12,1.2,92.49,14.28
4.16,4.47,0.52,26.94,19.15,23.05,95.63,76.16,1.02,82.11,14.59
4.65,4.66,0.59,27.07,19,23.03,95.46,84.49,1.09,85.54,14.47
4.59,4.65,0.59,27.23,17.94,22.58,95.49,82.42,1.03,84.05,13.55
4.48,4.65,0.58,27.8,18.16,22.98,95.79,81.21,1.05,84.98,13.67
4.39,4.51,0.57,27.66,18.81,23.24,95.89,79.39,1.02,82.26,14.22
4.37,4.44,0.57,27.87,19.05,23.46,95.91,79.32,1.06,81.21,14.47
3.99,4.05,0.52,28.03,18.37,23.2,96,71.39,0.92,73.04,13.79
4.15,4.19,0.55,26.95,18.4,22.67,95.91,75.64,0.96,77.07,13.85
3.67,4.24,0.49,25.73,18.23,21.98,95.86,68.12,0.96,78.28,13.73
4.57,4.86,0.62,25.65,16.65,21.15,95.86,86.48,1.2,92.7,12.39
5.06,5.02,0.69,26.01,13.99,20.01,95.73,94.99,1.26,95.17,10.5
5.17,5.12,0.7,25.73,12.13,18.93,95.76,96.23,1.27,96.39,9.28
5.03,5.02,0.7,25.44,11.14,18.3,95.83,94.19,1.24,94.93,8.73
3.71,4.74,0.52,25.65,12.19,18.92,95.95,69.91,0.93,89.35,9.28
5.07,5.02,0.71,25.72,10.8,18.26,96.15,93.99,1.21,94.11,8.54
5.12,5.06,0.73,24.92,7.7,16.31,96.03,92.19,1.16,92.27,6.96
5.13,5.08,0.73,24,5.95,14.98,96.01,91.38,1.16,91.45,6.16
5.14,5.08,0.73,23.34,4.92,14.13,95.81,90.66,1.16,90.74,5.74
4.85,4.85,0.7,22.83,4.58,13.71,95.93,85.8,1.06,86.62,5.55
4.55,4.55,0.66,22.71,4.87,13.79,96.29,82.41,1,83.3,5.62
4.24,4.25,0.62,23.69,6.65,15.17,96.29,76.05,0.92,77.19,6.41
4.56,4.51,0.68,23.65,7.76,15.7,96.02,81.48,1,81.63,6.9
4.23,4.34,0.63,22.96,7.4,15.18,95.98,75.16,0.92,78,6.71
3.79,4.15,0.57,22.61,8.31,15.46,96,67.79,0.79,74.62,7.14
4.33,4.51,0.66,23.02,5.33,14.18,95.92,78.1,0.9,82.13,5.92
3.9,4.21,0.6,22.37,2.82,12.59,95.98,69.54,0.77,75.62,4.88
3.09,3.75,0.48,20.88,6.98,13.93,96.2,55.2,0.57,66.8,6.53
3.6,3.62,0.56,20.02,7.57,13.8,96.3,61.93,0.59,63.21,6.77
3.84,3.87,0.6,19.28,6.19,12.73,96.37,66.97,0.7,68.52,6.16
4.4,4.36,0.7,20.27,3.87,12.07,96.39,76.35,0.82,76.54,5.31
4.6,4.56,0.73,19.94,0.73,10.33,96.39,79.97,0.84,80.16,4.21
3.6,4.38,0.58,19.97,-0.46,9.76,96.58,64.66,0.73,78.45,3.85
2.43,4.01,0.4,18.56,5.05,11.81,96.55,44.88,0.55,72.18,5.86
1.34,3.15,0.22,16.97,9.87,13.42,96.52,25.28,0.27,54.66,7.93
0.9,2.62,0.15,15.31,10.69,13,96.45,17.02,0.16,44.42,8.36
2.97,3.25,0.49,16.01,8.04,12.03,96.52,52.06,0.47,56.91,7.02
3.91,3.86,0.66,17.08,5.9,11.49,96.58,68.78,0.61,69.05,6.04
3.72,4.26,0.63,17.48,4.9,11.19,96.58,66.73,0.67,76.62,5.62
4.26,4.24,0.73,17.87,3.77,10.83,96.21,75.48,-999,76.19,5.25
4.45,4.4,0.77,17.01,2.83,9.92,96.11,77.81,0.72,78.07,4.88
4.12,4.18,0.71,16.15,2.28,9.22,96.34,73.52,0.71,75.4,4.7
