All sky irradiance,Clear sky irradiance,ALLSKY  ICI,Temperature,Dew point,Wet bulb,Surface pressure,ALLSKY SFC PAR TOT,ALLSKY SFC UV INDEX,CLRSKY SFC PAR TOT,QV2M
5.63,5.78,0.69,21.2,7.01,14.11,96.5,101.09,1.23,104.04,6.53
5.68,5.71,0.69,21.07,8.69,14.88,96.48,102.89,1.17,104,7.32
5.06,5.62,0.61,22.01,8.9,15.45,96.22,92.68,1.02,103.12,7.45
5.85,6.12,0.7,23.21,7.83,15.51,95.94,105.95,1.28,111.07,6.96
6.16,6.16,0.73,24.89,7.23,16.06,95.82,110.27,1.34,111.08,6.71
5.94,6.09,0.7,24.73,8.44,16.59,96.12,106.72,1.35,109.99,7.2
5.97,5.98,0.7,24.39,9.83,17.11,96.49,107.62,1.41,108.52,7.93
5.91,5.92,0.69,24.89,11.11,18,96.65,107.05,1.54,107.84,8.61
6.2,6.18,0.72,26.34,11.22,18.78,96.21,112.35,1.74,112.7,8.67
6.02,6.16,0.69,26.12,10.98,18.55,95.96,110.23,1.86,113.2,8.61
4.59,5.97,0.52,26.67,12.41,19.54,95.76,85.43,1.54,108.95,9.46
4.91,5.66,0.55,25.43,11.69,18.55,95.22,89.33,1.32,102.29,9.09
5.37,5.89,0.6,24.76,10.15,17.45,95.08,96.2,1.37,105.27,8.24
6.2,6.22,0.7,26.28,8.72,17.5,95.47,110.34,1.57,111.34,7.45
6.14,6.56,0.68,26.93,9.69,18.3,95.54,110.93,1.7,118.41,7.93
5.18,6,0.57,25.29,10.77,18.03,95.5,93.06,1.4,106.84,8.54
6.33,6.35,0.7,24.33,10.18,17.26,95.86,113.79,1.62,114.88,8.12
6.34,6.45,0.7,25.76,10.87,18.32,95.78,115.41,1.8,117.98,8.54
5.54,6.18,0.6,24.75,11.67,18.21,95.57,101.28,1.53,112.71,9.03
5.54,6.23,0.6,25.22,10,17.61,95.44,101.12,1.47,113.4,8.12
6.78,6.77,0.73,24.9,8.51,16.7,95.51,121.96,1.78,122.34,7.32
6.36,6.66,0.68,24.42,5.93,15.18,95.58,114.9,1.65,120.16,6.16
4.06,6.66,0.43,23.4,8.19,15.8,95.67,76.29,1.14,120.7,7.2
5.83,6.5,0.62,23.55,9.93,16.73,95.93,107.12,1.59,118.55,8.06
6.37,6.52,0.66,24.3,10.79,17.55,95.98,115.58,1.54,118.65,8.48
6.71,6.83,0.7,25.34,7.65,16.5,96.09,120.98,1.66,123.26,6.9
7.12,7.34,0.74,26.44,4.93,15.69,95.99,128.06,1.75,132.14,5.74
6.42,7.22,0.66,27.13,7.23,17.18,95.93,116.52,1.74,130.09,6.71
5.71,6.69,0.59,28.08,9.04,18.55,96.12,104.26,1.51,121.3,7.63
5.78,6.72,0.59,27.85,11.55,19.7,95.75,107.01,1.51,123.41,8.97
6.1,6.84,0.62,28.31,11.51,19.91,95.29,113.06,1.68,126.08,9.03
4.44,6.53,0.45,27.28,13.42,20.35,95.39,83.67,1.34,119.85,10.13
6.54,6.81,0.66,27.1,12.48,19.8,95.55,120.41,1.74,125.49,9.52
6.73,7.39,0.67,28.64,9.58,19.11,95.72,123.77,1.9,135.43,7.87
7.26,7.43,0.73,29.29,8.5,18.89,95.59,132.29,2.01,135.58,7.39
5.9,7.08,0.59,29.19,10.03,19.61,95.7,109.3,1.78,129.7,8.24
5.97,6.82,0.59,30.17,12.33,21.25,95.67,110.26,1.78,124.94,9.52
6.42,6.74,0.63,31.07,14.02,22.55,95.44,119.41,1.96,124.94,10.56
5.06,6.68,0.5,30.37,15.81,23.08,95.08,95.09,1.73,123.53,11.9
7.1,7.18,0.7,30.03,13.62,21.83,95.02,132.28,2.18,134.1,10.56
3.28,6.97,0.32,29.85,13.26,21.56,94.86,63.83,1.09,128.06,10.19
4.21,6.78,0.41,27,11.94,19.47,95.28,79.42,1.17,123.86,9.28
5.59,6.78,0.54,24.54,9.84,17.19,95.67,102.84,1.49,123.51,8.06
7.55,7.65,0.73,26.67,7.63,17.15,95.78,138.69,2.1,140.42,6.9
7.59,7.71,0.73,28.16,6.34,17.26,95.65,138.52,2.02,140.59,6.35
7.53,7.71,0.72,29.15,7.51,18.33,95.56,137.65,2.16,140.75,6.9
