All sky irradiance,Clear sky irradiance,ALLSKY ICI,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT
5.1,7.92,0.47,103.74,2.22,153.12
5.29,7.93,0.48,105.58,2.2,151.35
5.08,7.87,0.47,101,1.98,149.41
6.04,7.65,0.55,118.95,2.23,147.45
5.78,7.43,0.53,115.87,2.18,144.55
6.49,7.62,0.6,128.35,2.4,147.6
5.84,7.65,0.54,115.86,2.24,146.74
6.56,7.72,0.61,127.02,2.45,146.2
5.21,7.65,0.48,103.92,2.08,146.35
6.9,7.95,0.65,131.52,2.52,148.74
6.72,7.95,0.63,128.69,2.51,149.39
6.57,7.93,0.62,126.41,2.52,149.2
5.25,7.76,0.49,104.06,2.15,147.8
5.82,7.67,0.55,114.59,2.25,146.22
5.4,7.78,0.52,106.34,2.14,147.13
6.08,7.86,0.58,117.18,2.27,146.75
5.96,7.89,0.57,114.4,2.27,146.13
3.87,7.7,0.37,78.67,1.57,146.21
6.97,7.63,0.67,133.79,2.35,145.16
7.3,7.63,0.7,139.15,2.49,144.73
6.72,7.58,0.65,129.3,2.38,144.23
5.52,7.68,0.54,106.96,2.08,144.01
5.17,7.61,0.51,101.22,1.97,144.03
6.59,7.56,0.65,126.16,2.23,142.6
4.53,7.59,0.45,88.62,1.68,141.6
3.83,7.51,0.38,76.83,1.48,140.45
2.68,7.39,0.27,55.4,1.16,138.04
3.3,7.43,0.33,66.98,-999,139.3
4.89,7.42,0.49,96.48,1.86,140.01
5.6,7.21,0.56,109.53,2.05,138.13
5.37,7.09,0.54,105.43,1.98,135.91
5.98,7.09,0.6,116.21,2.09,135.25
6.44,7,0.66,124.05,2.18,133.71
5.46,6.84,0.55,107.29,1.95,131.24
6.29,6.91,0.65,121.21,2.2,132.27
6.18,6.78,0.63,118.77,2.09,129.47
3.27,6.42,0.34,68.7,1.41,126.89
4.02,6.81,0.42,81.55,1.63,132.39
4.62,6.82,0.48,91.84,1.73,130.89
6.36,6.77,0.67,121.3,2.02,128.41
6.16,6.75,0.65,117.63,1.95,127.96
5.61,6.77,0.59,107.79,1.84,128.28
5.96,6.7,0.63,114.3,1.84,127.1
5.78,6.5,0.62,112.46,1.9,125.95
6.35,6.57,0.69,121.57,1.99,125.76
4.67,6.71,0.51,91.77,1.76,127.93
5.72,6.76,0.62,108.66,1.89,127.4
6.13,6.58,0.67,115.93,1.95,124.12
5.59,6.58,0.62,106.54,1.81,124.17
5.89,6.48,0.66,109.93,1.73,120.53
5.79,6.48,0.65,108.18,1.69,120.03
4.87,6.56,0.55,92.89,1.53,122.12
4.6,6.46,0.52,89.86,1.56,122.47
3.77,6.4,0.43,74.12,1.38,120.36
4.84,6.35,0.55,93.16,1.63,120.84
6.05,6.38,0.7,111.97,1.73,118.02
6.02,6.34,0.7,112.2,1.54,118.16
6.39,6.37,0.74,116.6,1.57,116.99
6.29,6.36,0.73,114.48,1.55,116.24
6.21,6.28,0.73,113.77,1.59,115.64
6.19,6.23,0.73,112.59,1.55,114.06
6.05,6.16,0.72,110.61,1.51,113.27
5.59,6.06,0.67,103.45,1.5,111.6
4.83,6.04,0.59,91.91,1.49,112.65
3.32,6.05,0.41,63.99,1.13,111.43
4.84,5.89,0.59,91.53,1.42,109.86
5.1,5.88,0.63,95,1.46,108.7
5.92,6,0.73,107.61,1.56,109.55
6.06,6.06,0.76,108.81,1.61,109.58
6.02,6.05,0.76,107.07,1.59,108.17
5.9,5.93,0.75,105.81,1.58,106.85
3.85,5.76,0.49,73.27,1.26,105.27
5.53,5.7,0.71,100.28,1.38,103.74
5.63,5.68,0.73,102.87,1.43,104.59
4.81,5.55,0.63,89.41,1.4,102.11
5.16,5.61,0.68,94.69,1.45,102.72
4.77,5.44,0.63,87.77,1.34,99.43
5.31,5.49,0.71,96.41,1.41,100.07
5.17,5.41,0.7,94.98,1.4,99.88
5.3,5.29,0.72,98.47,1.43,99.24
4.71,5.19,0.65,88.71,1.34,97.7
4.87,4.99,0.67,91.52,1.21,94.19
3.77,5.01,0.52,72.17,1.09,93.77
3.43,5.07,0.48,65.63,1.02,95.35
5.1,5.13,0.72,94.12,1.19,95.53
5.17,5.17,0.73,93.34,1.14,94.16
5.13,5.14,0.73,93.45,1.16,94.46
5.2,5.26,0.76,92.2,-999,93.98
5.12,5.12,0.75,92.13,1.17,92.83
5.02,5.01,0.74,90.73,1.15,91.48
4.57,4.92,0.68,82.51,1.11,88.83
3.95,4.84,0.59,72.53,1.07,87.84
2.01,4.68,0.3,39.4,0.66,86.3
1.86,4.58,0.28,37,0.6,84.99
2.64,4.5,0.41,51.24,0.74,85.1
2.82,4.51,0.44,54.38,0.77,84.29
3.07,4.52,0.48,58.26,0.76,84.32
3.39,4.37,0.53,64.29,0.8,81.7
4.33,4.46,0.69,80.79,0.97,83.98
3.83,4.35,0.61,72.63,0.95,83.05
3.22,4.32,0.52,62.2,0.91,83.02
1.77,4.26,0.29,36.15,0.6,82.05
2.46,4.34,0.4,48.14,0.7,81.82
4.12,4.34,0.68,76.59,0.91,81.47
3.74,4.3,0.62,69.46,0.85,80.07
3.96,4.24,0.66,72.95,0.84,78.46
2.35,4.02,0.4,44.62,0.66,73.84
3.05,4.16,0.52,57.15,0.86,77.44
3.86,4.12,0.66,71.49,0.95,77
2.46,4.03,0.42,47.02,0.77,75.56
3.54,3.98,0.62,66.74,0.95,75.2
1.97,3.9,0.34,39.26,0.62,75.11
4.1,4.15,0.72,73.71,0.81,75.61
3.7,4.13,0.66,66.43,0.77,74.39
3.61,3.87,0.64,67.16,0.79,72.48
3.87,3.93,0.7,70.08,0.77,72.2
4.01,3.97,0.73,72.73,0.75,73.27
3.94,3.94,0.71,71.1,0.73,72.36
3.92,3.87,0.71,71.15,0.76,71.58
2.47,3.92,0.45,46.37,0.64,71.36
2.71,3.85,0.5,50.92,0.7,70.96
2.9,3.8,0.54,54.09,0.7,70.67
2.56,3.81,0.48,47.62,0.61,69.41
2.73,3.7,0.52,50.85,0.62,68.28
1.57,3.62,0.3,30.86,0.42,67.82
3.61,3.67,0.69,66.32,0.66,68.34
3.5,3.66,0.66,64.27,0.71,68.16
3.05,3.63,0.59,56.35,0.73,67.16
3.06,3.65,0.59,55.53,0.7,66.2
3.45,3.85,0.66,61.33,0.65,68.7
3.73,3.71,0.72,66.68,0.58,67.39
3.74,3.88,0.73,65.52,0.59,68.75
3.21,3.78,0.62,57.8,0.58,67.78
3.01,3.76,0.59,54.09,0.56,66.72
2.37,3.65,0.47,43.6,0.45,65.03
3.65,3.64,0.72,64.19,0.52,64.96
3.78,3.75,0.74,65.75,0.56,66.4
3.73,3.7,0.73,65.12,0.55,65.57
3.52,3.63,0.7,61.82,0.48,64.59
3.69,3.66,0.73,64.72,0.5,65.26
1.79,3.17,0.36,33.31,0.3,57.5
3.51,3.51,0.7,62.06,0.47,62.98
3.58,3.56,0.71,63.48,0.49,64.16
3.57,3.54,0.71,63.66,0.52,64.13
2.72,3.46,0.54,50.38,0.45,63.84
3.77,3.75,0.75,65.73,0.54,66.52
3.49,3.7,0.7,61.16,0.49,65.53
3.1,3.64,0.62,55.5,0.53,64.95
3.47,3.57,0.69,61.34,0.56,63.9
3.25,3.52,0.65,57.01,0.52,61.99
2.35,3.47,0.47,43.19,0.45,62.59
3.54,3.54,0.7,62.98,0.56,63.95
3.35,3.57,0.66,59.7,0.54,64.31
3.71,3.69,0.73,64.65,0.55,65.43
3.2,3.61,0.63,56.97,0.49,64.17
2.86,3.43,0.56,52.67,0.48,62.92
2.98,3.54,0.59,54.74,0.52,64.78
3.38,3.53,0.66,61.2,0.53,64.59
1.78,3.37,0.34,33.94,0.35,61
3.49,3.5,0.67,65.26,0.51,66.27
2.73,3.55,0.52,51.56,0.48,66.79
2.02,3.51,0.39,39.7,0.47,66.95
2.28,3.56,0.44,44.21,0.53,68.08
1.25,3.44,0.24,25.4,0.34,65.24
3.06,3.58,0.58,57.31,0.57,67.1
2.14,3.58,0.41,41,0.44,67.01
3.58,3.77,0.67,65.21,0.66,69.55
2.76,3.78,0.52,51.3,0.55,69.34
3.78,3.87,0.7,67.51,0.59,69.7
3.22,3.86,0.59,58.34,0.57,69.38
3.18,3.84,0.59,57.98,0.58,69.55
3.12,3.78,0.57,57.74,0.59,69.6
3.37,3.79,0.61,62.39,0.6,70.36
2.87,3.82,0.52,53.11,0.55,70.27
2.07,3.7,0.37,39.95,0.49,68.91
3.83,4.13,0.68,68.88,0.65,74.93
3.79,4.14,0.66,68.05,0.59,74.62
4.14,4.13,0.73,74.42,0.63,75.16
4.2,4.19,0.73,74.96,0.66,75.75
4.2,4.32,0.73,73.4,0.69,76.3
2.9,4.15,0.49,54.1,0.59,76.51
4.17,4.29,0.71,75.16,-999,78.09
4.01,4.31,0.68,72.44,0.7,78.27
4.43,4.43,0.74,79.25,0.73,80.19
4.55,4.58,0.76,79.81,0.74,81.22
2.85,4.5,0.47,51.95,0.58,78.77
4.39,4.36,0.72,79.25,0.73,79.75
3.7,4.48,0.6,67.23,0.73,80.66
4.06,4.5,0.65,73.36,0.78,81.55
4.59,4.56,0.73,82.01,0.8,82.5
4.6,4.58,0.73,81.73,0.77,82.32
3.5,4.55,0.55,64.16,0.7,82.66
3.54,4.64,0.55,65.2,0.76,84.09
4.63,4.81,0.71,82.2,0.82,86.16
4.73,4.84,0.73,84.14,0.88,86.81
3.64,4.82,0.55,66.07,0.84,85.88
2.59,4.72,0.39,49.69,0.71,87.26
4.5,4.7,0.67,81.02,0.88,85.1
3.49,4.84,0.52,64.5,0.83,88.7
4.48,4.84,0.66,82.11,0.81,89.21
3.08,4.74,0.45,59.12,0.66,88.8
4.75,4.93,0.69,86.62,0.94,90.35
4.63,5.11,0.66,82.45,0.96,91.22
4.79,5.15,0.68,86.59,0.98,93.28
4.88,5.14,0.69,88.29,1.04,93.71
5.11,5.39,0.72,92.21,1.12,98.02
5.33,5.46,0.74,94.29,0.99,97.48
4.75,5.18,0.66,85.54,0.83,93.27
3.85,5.29,0.52,71.06,0.71,96.59
4.95,5.56,0.67,88.45,0.96,99.67
5.68,5.7,0.77,99.4,0.97,100.48
5.46,5.54,0.73,97.01,-999,99.17
5.47,5.53,0.73,97.84,0.95,99.7
4.51,5.56,0.59,82.33,0.83,100.98
5.23,5.49,0.68,93.93,0.89,98.88
5.67,5.69,0.73,102.89,1.15,103.92
5.61,5.66,0.72,103.03,1.25,104.54
4.11,5.73,0.52,77.74,1.14,106.55
5.87,6.01,0.74,105.5,1.3,108.48
5.77,6.12,0.73,103.32,1.49,109.59
6.02,6.16,0.75,107.32,1.51,110.22
4.2,5.98,0.52,78.69,1.28,108.77
4.58,5.93,0.56,86.41,1.48,109.95
3.27,5.9,0.4,65.21,1.19,112.25
1.24,5.7,0.15,26.34,0.48,108.7
4.17,6,0.5,80.66,1.29,113.02
4.19,5.96,0.5,80.4,1.29,111.66
3.17,6.02,0.38,63.58,1.09,115.05
5.57,6.24,0.66,104.05,1.47,116.05
5.97,6.5,0.7,108.26,1.41,118.14
5.82,6.42,0.67,106.55,1.38,117.55
4.64,6.4,0.53,87.33,1.22,118.2
5.53,6.5,0.63,101.23,1.28,117.32
6.04,6.54,0.69,110.52,1.41,119.03
5.53,6.43,0.62,103.77,1.41,119.1
5.23,6.32,0.59,100.35,1.52,119.29
1.97,6.24,0.22,41.86,0.74,117.86
5.49,6.76,0.61,103.05,1.55,124.56
5.88,6.77,0.65,108.37,1.58,123.45
6.4,6.78,0.7,116.85,1.56,123.47
6.64,6.93,0.73,120.6,1.53,125.86
7.08,7.1,0.77,126.66,1.41,127.43
7.04,7.05,0.76,126.9,1.48,127.4
6.8,7,0.73,124.54,1.66,128.08
6.27,7.13,0.67,115.07,1.77,129.33
4.5,6.98,0.48,84.98,1.52,126.19
3.91,6.84,0.41,75.98,1.33,125.67
3.56,6.99,0.38,70.58,1.16,129.19
6.34,6.94,0.66,117.93,1.59,128.35
3.33,7.09,0.34,64.87,1.11,129.66
6.44,7.07,0.66,118.79,1.78,129.68
5.72,6.9,0.59,110.57,1.81,131.7
4.88,6.97,0.5,98.03,1.77,135
6.88,7.45,0.7,126.53,2.12,136.3
7.4,7.57,0.75,132.86,2.04,136.07
7.4,7.48,0.75,134.71,2.09,136.34
6.81,7.47,0.69,126.92,2.06,137.8
7.29,7.67,0.73,132.38,2.04,138.89
7.51,7.72,0.75,133.8,1.93,137.44
7.54,7.71,0.75,134.58,-999,137.52
5.82,7.59,0.57,107.66,1.7,136.3
6.79,7.56,0.66,126.56,1.98,139.52
7.87,7.96,0.77,141.75,1.98,143.26
7.76,7.85,0.76,140.41,1.99,141.93
6.27,7.72,0.61,116.27,1.8,141.21
7.71,7.81,0.74,139.7,1.9,141.41
6.23,7.75,0.6,115.38,1.8,140.23
7.58,7.8,0.73,139.26,2.13,142.84
5.59,7.94,0.53,106.07,1.77,145.48
6.04,7.95,0.58,112.98,1.88,144.87
7.03,7.79,0.66,132.3,2.1,144.58
6.29,7.89,0.59,118.78,1.91,145.68
7.13,8.02,0.67,131.95,1.98,146.53
7.42,7.98,0.7,137.25,2.05,146.24
5.37,7.99,0.5,103.05,1.66,146.68
3.75,7.66,0.35,74.14,1.2,140.16
3.41,7.53,0.32,68.4,1.03,136.68
5.16,7.68,0.48,98.77,1.24,141.85
7.93,8.01,0.73,145.59,1.73,146.87
8.08,8.2,0.75,147.33,2.04,149.16
8.1,8.32,0.75,146.51,2.2,149.93
7.71,8.27,0.71,141.18,2.26,149.85
7.19,8.25,0.66,133.89,2.29,150.88
5.27,8,0.48,101.48,1.83,147.94
6.65,7.98,0.61,126.91,2.26,149.22
4.95,8.24,0.45,97.34,1.84,152.41
2.33,8.11,0.21,49.5,0.98,150.85
5.83,8.26,0.53,112.88,1.86,153.39
7.5,8.29,0.68,139.62,2.12,152.4
7.2,8.2,0.65,135.28,2.05,151.62
7.21,8.39,0.65,134.64,2.2,153.75
7.85,8.47,0.7,145.34,2.43,155.24
4.97,8.38,0.45,97.55,1.75,154.14
4.54,8.18,0.41,89.31,1.53,151.34
3.8,8.15,0.34,76.74,1.36,151.88
3.03,8.19,0.27,62.98,1.15,152.08
3.4,8.04,0.3,69.11,1.18,148.41
6.46,8.15,0.58,123.6,1.88,151.22
5.19,8.33,0.46,101.69,1.7,155.27
4.59,8.49,0.41,91.98,1.65,158.01
8.13,8.47,0.72,152.77,2.41,157.95
5.98,8.26,0.53,115.8,1.96,153.83
6.78,8.38,0.6,128.48,2.11,155.12
4.39,8.39,0.39,87.21,1.71,156.16
2.81,8.32,0.25,59.29,1.28,156.26
4.91,8.43,0.43,98.55,1.95,158.41
5.96,8.61,0.52,115.12,2.09,159.88
8.42,8.65,0.74,156.48,2.55,159.59
7.79,8.58,0.69,145.76,2.43,157.91
7.87,8.63,0.69,147.07,2.49,158.35
4.22,8.64,0.37,84.22,1.62,159.62
3.44,8.53,0.3,70.8,1.48,159.09
6.74,8.64,0.59,128.62,2.31,159.61
7.49,8.53,0.66,141.48,2.39,157.53
8.05,8.6,0.7,149.82,2.55,157.95
8,8.55,0.7,151.51,2.59,159.87
8.12,8.61,0.71,152.95,2.59,160.09
7.59,8.57,0.66,143.74,2.51,159.29
6.59,8.72,0.58,127.3,2.44,161.72
7.11,8.52,0.62,137.55,2.6,160.6
6.51,8.55,0.57,126.31,2.44,160.51
6.53,8.49,0.57,126.17,2.41,159.11
3.25,8.52,0.28,67.93,1.44,159.53
4.9,8.66,0.43,98.52,1.98,162.85
7.79,8.7,0.68,146.77,2.83,161.1
4.41,8.63,0.38,88.33,1.89,159.7
4.03,8.67,0.35,81.43,1.74,160.18
4,8.63,0.35,81.42,1.76,160.39
5.1,8.71,0.45,101.17,2.16,161.02
2.99,8.78,0.26,61.91,1.37,161.22
5.12,8.8,0.45,100.68,1.98,162.1
7.15,8.8,0.62,135.14,2.42,161.46
7.83,8.82,0.69,146.23,2.69,161.42
7.11,8.67,0.62,136.21,2.59,160.84
6.29,8.66,0.55,122.57,2.38,160.96
3.8,8.53,0.33,78.05,1.59,158.84
5.54,8.56,0.48,109.21,1.98,159.15
6.88,8.59,0.6,130.87,2.32,158.74
7.62,8.56,0.66,144.21,2.52,158.7
7.58,8.47,0.66,144.59,2.56,158.73
7.77,8.53,0.68,147.45,2.62,159.45
7.94,8.69,0.7,148.28,2.72,159.65
7.64,8.15,0.67,146.01,2.67,153.66
7.05,7.64,0.62,136.1,2.35,145.24
7.07,7.88,0.62,137.67,2.48,150.84
5.15,7.87,0.45,103.63,1.87,151.62
4.36,7.71,0.38,88.27,1.66,146.33
6.69,7.85,0.59,133.14,2.45,152.03
6.79,7.91,0.6,134.58,2.53,152.81
6.07,8.08,0.54,121.52,2.35,155.66
5.77,8.08,0.52,116.27,2.23,155.84
5.72,7.98,0.51,114.75,2.21,153.6
4.62,7.86,0.41,95.19,1.91,151.96
4.64,7.73,0.41,95.16,1.87,150.48
5.39,7.78,0.48,109.41,2.09,151.62
6.92,7.92,0.62,137.7,2.55,154.31
6.08,7.93,0.55,122.48,2.31,154.7
6.94,7.96,0.62,136.36,2.47,153.59
7.91,8.06,0.71,151.87,2.62,154.16
7.82,8.06,0.7,149.91,-999,153.7
7.4,7.99,0.67,142.41,2.59,152.45
5.26,7.94,0.48,105.47,-999,152.12
4.04,7.88,0.37,81.89,1.61,149.52
5.3,7.78,0.48,105.21,2.02,147.49
5.31,7.79,0.48,105.69,2.07,148.53
6.94,7.62,0.63,136.3,2.48,147.89
6.71,7.63,0.62,132.48,2.36,148.24
7.19,7.56,0.66,140.53,2.44,146.8
7.35,7.57,0.67,143.67,2.47,147.09
7.42,7.63,0.68,144.3,2.5,147.55
7.36,7.82,0.68,142.3,2.57,149.65
7.27,7.95,0.67,139.57,2.59,150.91
7.36,7.94,0.68,140.9,2.63,150.38
7.78,8.07,0.73,145.95,2.65,150.61
7.55,7.93,0.7,142.14,2.6,148.23
7.45,7.6,0.7,142.33,2.48,144.7
6.14,7.22,0.58,119.93,2.16,138.88
6.72,6.96,0.63,129.63,2.16,133.8
6.97,7.18,0.66,134.96,2.32,138.66
6.87,7.4,0.65,134.01,2.4,143.24
7.18,7.51,0.68,139.5,2.48,145.43
5.53,7.45,0.52,110.69,2.12,145.05
4.67,7.4,0.45,95.35,1.84,143.72
4.41,7.23,0.42,90.15,1.74,140.22
5.27,7.23,0.51,106.17,2.07,141.15
5.18,7.29,0.5,103.51,-999,141.09
6.54,7.36,0.63,128.04,2.3,141.91
4.81,7.25,0.47,96.25,1.79,139.55
6.28,7.31,0.62,122.6,2.27,140.67
6.58,7.33,0.65,128.18,2.35,141.07
6.94,7.35,0.69,134.09,2.47,141.3
5.34,7.34,0.53,103.23,1.95,138.14
6.24,7.41,0.62,117.88,2.13,137.74
6.48,7.45,0.65,122.12,2.18,138.49
6.31,7.38,0.63,119.51,2.15,137.77
5.91,7.29,0.59,114.43,2.12,138.1
6.74,7.28,0.68,128.24,2.24,137.55
7.19,7.33,0.73,134.95,2.34,137.48
6.36,7.22,0.65,121.52,2.24,136.07
5.31,7.04,0.55,103.43,1.98,132.95
4.25,7.1,0.44,83.8,1.64,132.93
4.21,7.1,0.44,82.78,1.56,133.15
3.98,7.02,0.41,79.24,1.49,132.85
5.94,7.07,0.62,112.05,1.95,131.77
4.08,7.04,0.43,81.07,1.56,132.3
3.96,7.04,0.41,78.2,1.55,131.4
4.08,6.96,0.43,81.05,1.63,131.02
5.22,7.04,0.55,100.02,1.91,130.64
5.56,7.09,0.59,104.69,1.91,129.89
5.66,6.89,0.61,107.46,1.91,128.38
6.15,6.95,0.66,114.91,1.98,128.89
6.47,6.96,0.7,120.27,2.03,128.87
6.71,6.81,0.73,125.45,2.04,127.66
6.64,6.75,0.73,124.42,2.05,126.88
6.47,6.68,0.72,121.23,-999,125.49
6.64,6.75,0.74,123.2,2.12,125.61
6.66,6.75,0.74,122.55,2.08,124.87
6.38,6.68,0.72,117.57,1.96,123.03
5.23,6.64,0.59,97.32,1.62,120.91
5.69,6.52,0.65,107.01,1.73,121.46
5.54,6.36,0.63,104.99,1.73,119.7
4.78,6.36,0.55,91.37,1.59,118.54
3.7,6.37,0.43,72.23,1.35,118.48
3.89,6.26,0.45,76.27,1.41,117.38
2.73,6.13,0.32,54.73,-999,116.02
3.06,6.15,0.36,61.14,1.19,115.39
4.2,6.09,0.5,80.77,1.39,113.46
5.71,6.06,0.69,108.12,1.7,114.5
4.95,5.77,0.6,96.49,1.55,111.31
3.3,5.67,0.4,66.86,1.23,110.32
4.4,5.69,0.54,85.82,1.54,109.51
3.65,5.71,0.45,72.25,1.31,109.41
5.4,5.79,0.67,103.12,1.58,110.51
5.03,5.78,0.63,95.61,1.61,109.09
2.76,5.65,0.35,54.95,1.02,106.59
5.35,5.58,0.68,99.57,1.4,104.2
5.03,5.63,0.64,94.21,1.3,104.74
5.46,5.67,0.7,101.18,1.41,105.17
5.26,5.58,0.68,97.9,1.35,104.09
4.58,5.47,0.6,86.99,1.25,102.98
4.13,5.29,0.55,78.16,1.16,98.55
3.67,5.23,0.48,70.38,1.06,97.88
4.99,5.28,0.66,93.49,1.23,99.31
5.5,5.63,0.74,98.63,1.28,101.84
5.62,5.63,0.77,100.34,1.2,101.42
5.36,5.38,0.73,98.13,1.2,99.44
5.37,5.36,0.74,97.95,1.19,98.58
5.27,5.27,0.73,96.76,1.19,97.49
5.2,5.21,0.73,95.7,1.19,96.8
4.71,5.08,0.66,86.98,1.11,93.77
3.05,5.03,0.44,58.59,0.93,92.75
3.44,4.92,0.49,65.6,0.98,92.06
4.29,4.89,0.62,80.03,1.05,91.02
4.07,4.9,0.59,75.11,0.95,89.52
3.83,4.92,0.56,71.54,1.02,90.16
3.77,4.9,0.55,70.38,1.07,89.92
3.54,4.82,0.53,66.23,1.03,88.27
3.14,4.7,0.47,59.37,0.93,86.7
3.39,4.57,0.52,64.07,0.91,85.01
4.8,4.83,0.73,85.91,0.96,87.28
4.51,4.75,0.7,81.7,0.92,86.45
4.7,4.68,0.73,85.78,1.02,86.41
4.39,4.63,0.69,79.75,0.97,84.87
3.03,4.32,0.48,56.36,0.76,78.85
2.95,4.5,0.47,55.76,0.81,82.8
2.5,4.36,0.4,48.42,0.7,81.98
2.8,4.38,0.45,52.47,0.73,80.61
3.78,4.28,0.62,70.77,0.92,80.26
4.54,4.52,0.74,81.19,0.94,81.79
4.39,4.44,0.73,77.55,-999,79.41
4.19,4.22,0.7,72.71,0.81,74.23
4.54,4.54,0.77,79.65,0.86,80.72
4.16,4.47,0.7,72.91,0.78,78.82
4.21,4.36,0.72,74.86,0.8,78.27
3.34,4.18,0.57,60.62,0.7,75.54
4.1,4.17,0.71,72.77,0.74,74.89
3.76,3.98,0.66,67.78,0.75,72.36
4.03,4.03,0.7,71.74,0.73,72.9
2.63,3.67,0.46,48.15,0.52,65.98
3.83,3.85,0.68,69.85,0.66,71.28
3.42,3.82,0.61,64.07,0.69,71.88
3.17,3.89,0.57,59.16,0.7,72.49
3.69,3.84,0.66,68.45,0.73,72.13
3.07,3.73,0.56,58.16,0.64,70.68
3.68,3.76,0.67,67.61,0.68,70.05
3.88,3.86,0.72,70.28,0.66,71.04
3.76,3.83,0.7,67.51,0.64,69.7
2.48,3.75,0.46,46.68,0.58,69.8
1.52,3.56,0.28,30.03,0.38,67.79
2.94,3.69,0.55,54.76,0.59,68.83
3.23,3.66,0.61,60.06,0.64,68.5
3.57,3.81,0.68,64.27,0.64,69.6
3.76,3.74,0.72,67.63,0.62,68.39
3.21,3.71,0.62,58.05,0.58,67.35
1.03,3.48,0.2,21.22,0.27,67.12
1.71,3.41,0.33,33.38,0.4,64.5
3.55,3.6,0.69,65.85,0.58,67.7
3.67,3.65,0.72,66.38,0.58,67.09
3.02,3.61,0.59,55.22,0.57,65.97
1.82,3.38,0.36,34.29,0.43,60.63
3.35,3.44,0.66,59.78,0.56,62.3
3.29,3.55,0.65,59.66,0.56,64.95
3.69,3.67,0.73,65.73,0.6,66.38
1.76,3.62,0.35,33.45,0.41,65.92
3.5,3.56,0.7,62.91,0.55,65.02
3.43,3.58,0.68,61.43,0.52,65.03
2.85,3.49,0.57,53.19,0.48,65.46
3.24,3.5,0.64,59.01,0.5,64.51
3.33,3.6,0.66,59.55,0.57,64.95
3.19,3.63,0.63,56.87,0.59,64.95
1.52,3.48,0.3,29.41,0.39,63.57
3.02,3.46,0.6,55.77,0.56,64.16
2.59,3.44,0.52,47.62,0.5,62.88
2.99,3.4,0.59,55.08,0.56,62.76
2.57,3.49,0.51,48.63,0.51,65.48
3.57,3.56,0.71,64.48,0.52,65.28
3.08,3.51,0.61,56.32,0.52,64.61
3.76,3.75,0.74,65.75,0.52,66.59
3.76,3.74,0.74,66.26,0.52,66.97
3.62,3.62,0.71,65.14,0.55,66.14
1.66,3.35,0.33,31.59,0.34,60.87
3.85,3.84,0.75,67.04,0.52,67.91
3.8,3.79,0.74,66.7,0.5,67.45
3.83,3.82,0.74,66.77,0.55,67.39
3.75,3.74,0.73,66.13,0.58,66.77
1.02,3.46,0.2,20.66,0.27,64.15
3.46,3.68,0.66,62.98,0.65,67.71
3.43,3.63,0.66,64.02,0.64,68.3
3.28,3.67,0.62,60.92,0.7,68.23
3.66,3.74,0.7,66.5,0.74,68.73
3.15,3.74,0.59,58.16,0.66,68.71
2.51,3.61,0.47,46.5,0.54,65.07
3.17,3.73,0.59,58.58,0.61,69.13
2.29,3.72,0.42,43.54,0.54,68.82
1.08,3.47,0.2,22.36,0.31,64.87
2.62,3.72,0.48,50.23,0.6,70.48
2.45,3.66,0.45,47.05,0.55,69.29
1.57,3.65,0.28,31.64,0.44,69.85
3.3,3.88,0.59,62.03,0.7,73
4.07,4.06,0.73,73.57,0.85,74.44
3.21,3.98,0.57,59.26,0.83,72.77
4.12,4.17,0.73,74.67,0.88,76.41
4.18,4.32,0.73,73.89,0.75,76.86
4.26,4.24,0.74,75.94,0.73,76.56
3.53,4.23,0.61,64.17,0.71,76.5
4.38,4.39,0.75,77.15,0.84,78.31
4.18,4.38,0.71,74.6,0.82,78.6
4.23,4.31,0.71,75.78,0.82,78.05
3.38,4.19,0.57,61.19,0.77,75.02
3.4,4.18,0.56,62.79,0.89,76.34
3.64,4.13,0.6,67.59,0.88,76.82
1.65,3.95,0.27,32.91,0.48,73.54
3,4.29,0.48,56.41,0.61,78.99
1.44,4.06,0.23,29.58,0.45,77.08
3.95,4.45,0.63,72.42,0.88,82.11
3.32,4.42,0.52,63.02,0.86,82.88
3.28,4.6,0.52,61.11,0.76,85.23
4.72,4.81,0.73,84.02,0.86,86.39
4.8,4.78,0.74,85.48,0.84,86.09
4.74,4.81,0.73,84.6,0.87,86.57
3.43,4.74,0.52,63.75,0.78,87.77
3.69,4.8,0.55,68.18,0.87,88.15
5.15,5.13,0.77,90.01,0.96,90.69
4.09,5.05,0.61,74.05,0.86,89.88
1.35,4.48,0.2,28.13,0.46,85.8
0.71,4.64,0.1,14.97,0.24,88.64
4,5.07,0.58,74.65,1.02,93.89
4.7,5.18,0.67,85.76,1.2,94.95
4.33,5.09,0.62,79.59,1.02,93.31
4.7,5.28,0.66,84.39,0.9,95.27
5.45,5.44,0.77,96.37,0.91,97.07
2.94,5.15,0.41,55.85,0.64,94.19
3.17,5.13,0.44,60,0.67,93.3
5.55,5.53,0.76,98.38,0.92,98.92
5.64,5.62,0.77,99.73,1.19,100.35
5.38,5.51,0.73,97.05,1.27,99.9
5.36,5.42,0.72,97.34,1.31,99.1
3.01,5.3,0.4,57.6,1.03,96.66
5.34,5.43,0.7,99.41,1.63,101.77
4.31,5.47,0.56,81.71,1.58,102.49
3.26,5.47,0.42,63.49,1.42,102.97
